tahun ,Beras,Beras Kualitas Bawah I,Beras Kualitas Bawah II,Beras Kualitas Medium I,Beras Kualitas Medium II,Beras Kualitas Super I,Beras Kualitas Super II,Daging Ayam,Daging Ayam Ras Segar,Daging Sapi,Daging Sapi Kualitas 1,Daging Sapi Kualitas 2,Bawang Merah,Bawang Merah Ukuran Sedang,Bawang Putih,Bawang Putih Ukuran Sedang,Cabai Rawit,Cabai Rawit Hijau,Cabai Rawit Merah,Minyak Goreng,Minyak Goreng Curah,Minyak Goreng Kemasan Bermerk 1,Minyak Goreng Kemasan Bermerk 2,Gula Pasir,Gula Pasir Kualitas Premium,Gula Pasir Lokal
 02/ 2024,15.9,14.75,15.7,15.75,16.15,16.35,16.6,39.75,39.75,135.65,136.25,135.0,38.4,38.4,38.4,38.4,66.05,66.65,65.4,17.25,15.05,19.0,17.7,17.6,17.9,17.3
 03/ 2024,15.9,14.75,15.65,15.8,16.3,16.35,16.6,33.75,33.75,135.3,135.65,135.0,39.25,39.25,42.15,42.15,56.3,61.65,50.95,17.55,15.8,18.9,17.9,17.7,17.95,17.45
 04/ 2024,15.25,14.35,15.1,15.45,15.25,15.7,15.65,37.25,37.25,135.3,135.65,135.0,65.5,65.5,45.25,45.25,49.4,53.75,45.0,17.8,16.55,18.9,18.0,17.8,18.0,17.55
 05/ 2024,15.15,13.95,15.1,15.4,15.25,15.7,15.65,35.15,35.15,135.3,135.65,135.0,51.9,51.9,44.15,44.15,41.9,46.4,37.4,17.8,16.7,18.75,18.0,18.45,18.9,18.0
 06/ 2024,15.15,13.95,15.1,15.3,15.3,15.65,15.6,37.15,37.15,135.3,135.65,135.0,41.25,41.25,41.0,41.0,45.5,56.65,34.35,17.8,16.55,18.9,18.0,18.15,18.65,17.65
 07/ 2024,15.2,13.9,15.0,15.3,15.4,15.65,15.75,29.4,29.4,135.3,135.65,135.0,27.65,27.65,41.0,41.0,57.4,64.65,50.15,18.2,17.25,19.25,18.15,17.75,18.2,17.3
 08/ 2024,15.2,14.0,15.05,15.3,15.5,15.65,15.8,32.9,32.9,135.3,135.65,135.0,25.4,25.4,40.9,40.9,42.95,49.25,36.55,18.2,17.0,19.55,18.05,18.0,18.45,17.5
 09/ 2024,15.25,14.05,15.05,15.3,15.55,15.65,15.8,29.4,29.4,135.3,135.65,135.0,27.25,27.25,40.4,40.4,39.1,45.15,33.0,18.3,17.2,19.55,18.05,17.9,18.4,17.45
 10/ 2024,15.2,14.15,15.05,15.3,15.5,15.65,15.7,40.25,40.25,135.3,135.65,135.0,29.75,29.75,40.75,40.75,34.1,36.15,32.05,18.3,17.3,19.45,18.05,17.9,18.4,17.4
 11/ 2024,15.15,14.15,14.95,15.3,15.35,15.65,15.55,34.5,34.5,135.3,135.65,135.0,42.4,42.4,43.25,43.25,25.85,28.15,23.55,18.8,17.75,19.95,18.7,18.25,19.0,17.45
 12/ 2024,15.15,14.05,14.95,15.3,15.4,15.65,15.6,38.0,38.0,135.3,135.65,135.0,41.65,41.65,44.25,44.25,39.5,44.15,34.85,19.3,17.95,20.45,19.5,18.25,19.0,17.45
