No;I;1;2;3;4;5;6;II;1;III;1;2;IV;1;V;1;VI;1;2;VII;1;2;3;VIII;1;2
Komoditas (Rp);Beras;Beras Kualitas Bawah I;Beras Kualitas Bawah II;Beras Kualitas Medium I;Beras Kualitas Medium II;Beras Kualitas Super I;Beras Kualitas Super II;Daging Ayam;Daging Ayam Ras Segar;Daging Sapi;Daging Sapi Kualitas 1;Daging Sapi Kualitas 2;Bawang Merah;Bawang Merah Ukuran Sedang;Bawang Putih;Bawang Putih Ukuran Sedang;Cabai Rawit;Cabai Rawit Hijau;Cabai Rawit Merah;Minyak Goreng;Minyak Goreng Curah;Minyak Goreng Kemasan Bermerk 1;Minyak Goreng Kemasan Bermerk 2;Gula Pasir;Gula Pasir Kualitas Premium;Gula Pasir Lokal
 12/ 2021;13,550;12,350;11,450;14,000;12,950;16,200;14,100;40,500;40,500;128,350;133,350;123,350;34,150;34,150;34,500;34,500;89,150;60,000;118,350;20,450;20,500;20,350;20,500;14,350;14,650;14,000
 01/ 2022;13,550;12,400;11,500;14,000;12,950;16,200;14,150;38,850;38,850;128,350;133,350;123,350;31,650;31,650;34,500;34,500;50,000;53,350;46,650;20,450;20,650;20,350;20,350;14,750;15,000;14,500
 02/ 2022;13,550;12,400;11,500;14,000;12,950;16,200;14,150;38,850;38,850;128,350;133,350;123,350;31,650;31,650;34,500;34,500;50,000;53,350;46,650;20,450;20,650;20,350;20,350;14,750;15,000;14,500
 03/ 2022;13,450;12,300;11,400;13,950;12,900;16,150;14,100;37,750;37,750;140,850;145,850;135,850;36,650;36,650;38,500;38,500;51,250;40,850;61,650;21,500;21,850;20,000;20,000;14,750;15,150;14,350
 04/ 2022;13,450;12,300;11,400;13,950;12,900;16,150;14,100;42,850;42,850;150,000;155,850;144,150;45,850;45,850;43,350;43,350;46,750;42,650;50,850;24,300;21,350;27,000;25,650;15,600;16,250;15,350
 05/ 2022;13,400;12,200;11,300;13,900;12,850;16,100;14,000;37,850;37,850;146,650;152,500;140,850;50,850;50,850;40,850;40,850;65,000;58,350;71,650;23,450;18,700;25,850;25,850;15,650;16,000;15,350
 06/ 2022;13,400;12,200;11,300;13,900;12,850;16,100;14,050;38,850;38,850;146,650;152,500;140,850;68,350;68,350;39,150;39,150;101,650;83,350;120,000;22,100;16,950;25,750;25,350;15,500;15,650;15,350
 07/ 2022;13,400;12,150;11,250;13,850;12,800;16,100;14,050;39,150;39,150;145,850;151,650;140,000;49,150;49,150;36,650;36,650;70,400;59,150;81,650;21,450;15,600;25,750;25,000;15,150;15,150;15,150
 08/ 2022;13,650;12,450;11,550;14,100;13,050;16,350;14,300;35,650;35,650;145,850;151,650;140,000;37,500;37,500;37,500;37,500;57,500;55,000;60,000;19,750;15,250;22,200;21,850;15,150;15,150;15,150
 09/ 2022;13,750;12,550;11,650;14,200;13,150;16,550;14,500;35,000;35,000;145,850;151,650;140,000;38,350;38,350;37,150;37,150;55,400;43,350;67,500;19,500;14,750;21,850;21,850;15,150;15,150;15,150
 10/ 2022;13,750;12,550;11,650;14,200;13,150;16,500;14,450;35,650;35,650;142,500;148,350;136,650;38,000;38,000;35,500;35,500;44,600;35,850;53,350;19,100;15,600;20,850;20,850;15,150;15,150;15,150
 11/ 2022;13,900;12,700;11,800;14,350;13,300;16,600;14,600;35,850;35,850;142,500;148,350;136,650;37,150;37,150;34,150;34,150;40,850;34,150;47,500;19,350;16,600;20,700;20,700;15,150;15,150;15,150
 12/ 2022;14,050;12,850;11,950;14,500;13,450;16,800;14,750;38,500;38,500;142,500;148,350;136,650;37,500;37,500;34,850;34,850;56,250;57,500;55,000;19,900;17,100;21,700;20,850;15,150;15,150;15,150
 01/ 2023;14,250;13,050;12,150;14,800;13,650;17,000;15,000;34,150;34,150;140,850;146,650;135,000;48,350;48,350;36,150;36,150;61,650;55,000;68,350;19,500;16,750;21,050;20,700;15,150;15,150;15,150
 02/ 2023;14,550;13,300;12,400;14,950;13,900;17,400;15,250;35,100;35,100;140,850;146,650;135,000;41,650;41,650;38,000;38,000;66,250;55,000;77,500;19,400;16,850;21,100;20,250;15,150;15,150;15,150
 03/ 2023;14,450;13,250;12,350;14,900;13,850;17,250;15,200;35,650;35,650;140,850;146,650;135,000;41,650;41,650;40,000;40,000;66,650;51,650;81,650;19,200;16,400;21,250;19,950;15,150;15,150;15,150
 04/ 2023;14,400;13,250;12,350;14,900;13,850;17,250;14,800;41,200;41,200;145,000;150,000;140,000;55,000;55,000;43,850;43,850;44,250;44,150;44,350;19,200;16,400;21,250;19,950;15,150;15,150;15,150
 05/ 2023;14,500;13,250;12,400;14,900;13,850;17,250;15,200;39,350;39,350;141,650;146,650;136,650;49,150;49,150;44,150;44,150;48,350;46,650;50,000;19,050;16,550;20,600;19,950;15,250;15,350;15,150
 06/ 2023;14,500;13,250;12,400;14,900;13,850;17,200;15,200;42,850;42,850;141,650;146,650;136,650;45,850;45,850;42,500;42,500;48,750;45,850;51,650;19,100;16,550;20,750;19,950;15,250;15,350;15,150
 07/ 2023;14,450;13,200;12,350;14,850;13,800;17,100;15,150;39,500;39,500;141,650;146,650;136,650;35,850;35,850;49,150;49,150;43,750;42,500;45,000;19,100;16,550;20,750;19,950;15,500;15,500;15,500
 08/ 2023;14,850;13,650;12,900;15,250;14,250;17,500;15,550;39,100;39,100;141,650;146,650;136,650;35,000;35,000;45,000;45,000;47,900;42,500;53,350;18,850;16,400;20,450;19,750;15,750;15,850;15,650
 09/ 2023;15,200;13,950;13,250;15,550;14,550;17,850;15,900;35,850;35,850;141,650;146,650;136,650;32,500;32,500;45,000;45,000;42,900;44,150;41,650;18,700;16,250;20,100;19,750;15,850;15,850;15,850
 10/ 2023;15,200;13,950;13,250;15,550;14,550;17,850;15,900;35,650;35,650;141,650;146,650;136,650;32,500;32,500;45,850;45,850;80,850;64,150;97,500;18,300;16,100;19,100;19,750;16,900;16,850;16,950
 11/ 2023;15,200;13,950;13,350;15,550;14,550;17,850;15,900;34,000;34,000;141,650;146,650;136,650;36,650;36,650;43,350;43,350;87,500;68,350;106,650;18,150;16,100;18,950;19,450;17,850;17,850;17,800
 12/ 2023;15,400;14,100;13,400;15,600;14,600;18,450;16,300;35,150;35,150;141,650;146,650;136,650;44,150;44,150;45,850;45,850;72,500;51,650;93,350;18,050;16,100;18,750;19,250;18,150;18,200;18,100
 01/ 2024;15,600;14,350;13,650;15,700;14,700;18,750;16,600;34,000;34,000;141,650;146,650;136,650;36,650;36,650;47,500;47,500;51,250;49,150;53,350;18,150;16,350;18,850;19,250;18,150;18,200;18,100
 02/ 2024;16,150;15,050;14,300;16,150;15,300;19,350;16,950;36,100;36,100;141,650;146,650;136,650;40,850;40,850;46,650;46,650;71,650;55,000;88,350;18,500;17,000;19,200;19,250;18,150;18,200;18,100
 03/ 2024;16,150;14,950;14,100;16,150;15,300;19,350;16,950;37,500;37,500;141,650;146,650;136,650;38,350;38,350;48,850;48,850;53,350;54,150;52,500;19,000;17,700;19,500;19,750;18,300;18,350;18,200
 04/ 2024;15,450;14,400;13,500;15,600;14,750;18,150;16,400;36,850;36,850;140,000;145,000;135,000;71,650;71,650;58,850;58,850;50,850;48,350;53,350;19,100;17,950;19,750;19,600;19,200;19,350;19,050
 05/ 2024;15,400;14,250;13,300;15,450;14,550;18,350;16,400;37,900;37,900;140,000;145,000;135,000;50,850;50,850;55,000;55,000;45,400;47,500;43,350;19,150;18,050;19,900;19,400;19,550;19,700;19,400
 06/ 2024;15,600;14,300;13,350;15,500;14,600;19,200;16,550;38,650;38,650;140,000;145,000;135,000;42,500;42,500;46,650;46,650;45,400;49,150;41,650;19,100;18,050;19,900;19,400;19,450;19,700;19,200
 07/ 2024;15,650;14,300;13,500;15,600;14,700;19,200;16,550;35,600;35,600;140,000;145,000;135,000;32,500;32,500;49,150;49,150;80,000;65,850;94,150;19,200;18,300;19,900;19,400;19,550;19,900;19,200
 08/ 2024;15,550;14,200;13,500;15,600;14,700;18,900;16,550;34,650;34,650;140,000;145,000;135,000;31,650;31,650;47,500;47,500;53,750;53,350;54,150;19,150;18,200;19,900;19,400;19,400;19,700;19,050
 09/ 2024;15,550;14,150;13,450;15,600;14,700;18,900;16,600;35,000;35,000;140,000;145,000;135,000;31,650;31,650;48,350;48,350;45,850;40,850;50,850;19,250;18,450;19,900;19,350;19,200;19,550;18,800
 10/ 2024;15,550;14,150;13,400;15,550;14,650;18,800;16,600;39,350;39,350;136,650;141,650;131,650;35,000;35,000;49,150;49,150;43,350;36,650;50,000;19,500;18,850;20,100;19,600;19,200;19,550;18,800
 11/ 2024;15,450;14,000;13,250;15,500;14,600;18,800;16,500;36,500;36,500;135,400;140,000;130,850;45,850;45,850;50,850;50,850;35,400;30,000;40,850;20,050;20,500;20,100;19,600;19,350;19,900;18,800
 12/ 2024;15,500;14,100;13,300;15,600;14,700;18,850;16,550;38,750;38,750;134,600;139,150;130,000;45,000;45,000;50,000;50,000;79,300;69,150;89,400;20,650;20,850;21,000;20,100;19,450;19,900;18,950
