No;I;1;2;II;1;III;1;2;IV;1;V;1;VI;1;2;VII;1;2;3;VIII;1;2
Komoditas (Rp);Beras;Beras Kualitas Medium I;Beras Kualitas Super I;Daging Ayam;Daging Ayam Ras Segar;Daging Sapi;Daging Sapi Kualitas 1;Daging Sapi Kualitas 2;Bawang Merah;Bawang Merah Ukuran Sedang;Bawang Putih;Bawang Putih Ukuran Sedang;Cabai Rawit;Cabai Rawit Hijau;Cabai Rawit Merah;Minyak Goreng;Minyak Goreng Curah;Minyak Goreng Kemasan Bermerk 1;Minyak Goreng Kemasan Bermerk 2;Gula Pasir;Gula Pasir Kualitas Premium;Gula Pasir Lokal
 04/ 2022;11,000;10,650;11,350;29,000;29,000;135,000;135,000;140,000;40,000;40,000;38,850;38,850;38,350;35,000;39,150;32,300;28,500;34,600;35,000;15,750;16,500;15,500
 05/ 2022;11,000;10,650;11,350;34,150;34,150;135,000;135,000;140,000;48,350;48,350;36,650;36,650;46,650;35,000;49,150;29,700;21,850;34,700;34,850;15,550;16,500;15,250
 06/ 2022;11,100;10,750;11,400;29,150;29,150;135,000;135,000;140,000;83,350;83,350;37,500;37,500;76,650;35,000;85,000;29,850;23,150;33,350;35,500;15,700;16,500;15,400
 07/ 2022;10,900;10,500;11,350;26,600;26,600;135,000;135,000;140,000;72,500;72,500;36,650;36,650;52,900;35,000;56,650;25,550;15,500;30,950;34,400;15,700;16,500;15,400
 08/ 2022;10,950;10,600;11,350;22,250;22,250;135,000;135,000;140,000;47,500;47,500;37,500;37,500;56,650;56,650;56,650;25,250;15,000;30,950;33,750;15,650;16,000;15,400
 09/ 2022;11,350;11,100;11,600;19,950;19,950;132,500;132,500;135,000;40,500;40,500;36,650;36,650;59,150;59,150;59,150;22,600;14,600;26,550;30,950;15,650;16,000;15,400
 10/ 2022;11,300;11,000;11,600;22,150;22,150;132,500;132,500;135,000;41,650;41,650;35,850;35,850;50,850;50,850;50,850;22,350;14,750;26,550;29,550;15,550;16,000;15,250
 11/ 2022;11,400;11,150;11,650;24,150;24,150;132,500;132,500;135,000;47,500;47,500;35,850;35,850;50,000;50,000;50,000;22,450;14,750;26,550;29,850;15,550;16,000;15,250
 12/ 2022;12,400;12,100;12,650;26,000;26,000;132,500;132,500;135,000;45,650;45,650;35,850;35,850;49,150;49,150;49,150;22,700;16,150;26,450;28,900;15,650;16,000;15,400
 01/ 2023;12,200;11,850;12,600;22,100;22,100;132,500;132,500;135,000;44,350;44,350;35,850;35,850;40,000;40,000;40,000;25,900;22,600;27,800;28,900;15,650;16,000;15,400
 02/ 2023;12,450;12,150;12,650;20,400;20,400;132,500;132,500;135,000;43,350;43,350;37,500;37,500;60,850;60,850;60,850;24,350;18,850;27,800;28,900;15,850;16,000;15,650
 03/ 2023;13,400;13,100;13,650;25,350;25,350;130,000;130,000;130,000;40,850;40,850;45,850;45,850;56,650;56,650;56,650;25,800;20,350;29,600;28,900;15,850;16,000;15,650
 04/ 2023;13,400;13,000;13,750;24,850;24,850;132,500;132,500;135,000;46,850;46,850;43,350;43,350;35,000;35,000;35,000;25,350;19,700;29,150;28,450;15,650;16,000;15,500
 05/ 2023;13,450;13,150;13,750;25,600;25,600;132,500;132,500;135,000;41,650;41,650;43,150;43,150;34,150;34,150;34,150;25,550;20,050;29,150;28,600;15,750;16,000;15,650
 06/ 2023;13,300;13,000;13,600;32,400;32,400;132,500;132,500;135,000;44,850;44,850;44,350;44,350;50,850;50,850;50,850;24,450;17,400;29,150;28,600;15,700;16,000;15,600
 07/ 2023;13,200;12,850;13,600;24,350;24,350;132,500;132,500;135,000;36,850;36,850;48,350;48,350;38,350;38,350;38,350;24,350;17,050;29,150;28,600;15,750;16,000;15,650
 08/ 2023;13,350;13,000;13,650;22,650;22,650;132,500;132,500;135,000;34,000;34,000;46,350;46,350;35,000;35,000;35,000;23,900;16,750;28,650;28,600;15,750;16,000;15,650
 09/ 2023;14,150;13,850;14,500;24,850;24,850;132,500;132,500;135,000;30,850;30,850;42,500;42,500;40,350;40,350;40,350;23,600;16,150;28,650;28,000;16,150;16,000;16,150
 10/ 2023;14,900;14,650;15,100;24,000;24,000;132,500;132,500;135,000;28,350;28,350;42,350;42,350;75,150;75,150;75,150;23,150;16,150;27,800;27,350;17,050;16,000;17,150
 11/ 2023;14,650;14,400;14,900;25,350;25,350;132,500;132,500;135,000;34,650;34,650;42,350;42,350;98,350;98,350;98,350;23,300;16,500;27,800;27,350;18,950;17,500;19,100
 12/ 2023;14,500;14,150;14,850;29,050;29,050;132,500;132,500;135,000;45,850;45,850;43,350;43,350;130,000;130,000;130,000;23,300;16,600;27,800;27,350;19,350;19,000;19,150
 01/ 2024;14,500;14,100;14,900;30,200;30,200;131,900;131,900;135,000;42,100;42,100;41,100;41,100;25,450;25,450;25,450;22,450;15,650;27,650;24,550;18,050;19,000;18,000
 02/ 2024;17,150;16,650;17,600;30,000;30,000;131,900;131,900;135,000;37,500;37,500;41,700;41,700;51,600;51,600;51,600;23,700;21,500;26,500;23,300;18,450;19,000;18,400
