No;I;1;2;3;4;5;6;II;1;III;1;IV;1;V;1;VI;1;2;VII;1;2;3;VIII;1;2
Komoditas (Rp);Beras;Beras Kualitas Bawah I;Beras Kualitas Bawah II;Beras Kualitas Medium I;Beras Kualitas Medium II;Beras Kualitas Super I;Beras Kualitas Super II;Daging Ayam;Daging Ayam Ras Segar;Daging Sapi;Daging Sapi Kualitas 1;Bawang Merah;Bawang Merah Ukuran Sedang;Bawang Putih;Bawang Putih Ukuran Sedang;Cabai Rawit;Cabai Rawit Hijau;Cabai Rawit Merah;Minyak Goreng;Minyak Goreng Curah;Minyak Goreng Kemasan Bermerk 1;Minyak Goreng Kemasan Bermerk 2;Gula Pasir;Gula Pasir Kualitas Premium;Gula Pasir Lokal
 03/ 2023;12,950;10,900;10,500;13,800;12,650;15,250;14,650;28,200;28,200;138,150;138,150;30,750;30,750;29,250;29,250;47,450;31,750;63,150;17,700;15,450;20,500;17,000;14,100;14,100;14,100
 04/ 2023;12,950;10,900;10,500;13,800;12,650;15,250;14,650;32,700;32,700;136,900;136,900;31,250;31,250;27,400;27,400;33,950;32,150;35,750;17,700;15,450;20,500;17,000;14,100;14,100;14,100
 05/ 2023;13,050;10,900;10,500;13,850;13,100;15,250;14,650;37,950;37,950;138,150;138,150;31,750;31,750;35,250;35,250;36,700;34,500;38,900;17,850;15,450;20,650;17,400;14,250;14,100;14,400
 06/ 2023;13,050;10,900;10,500;13,850;13,100;15,250;14,650;37,950;37,950;138,150;138,150;31,750;31,750;35,250;35,250;36,700;34,500;38,900;17,850;15,450;20,650;17,400;14,250;14,100;14,400
 07/ 2023;13,100;11,150;10,650;13,850;13,100;15,250;14,650;31,450;31,450;136,900;136,900;26,750;26,750;37,250;37,250;36,400;34,500;38,250;17,650;15,450;20,500;17,000;14,750;14,850;14,650
 08/ 2023;13,450;11,150;10,650;14,650;13,950;15,500;14,750;32,500;32,500;136,900;136,900;21,900;21,900;36,400;36,400;37,350;33,000;41,650;17,550;15,150;20,250;17,150;14,750;14,850;14,650
 09/ 2023;13,450;11,150;10,650;14,650;13,950;15,500;14,750;32,500;32,500;136,900;136,900;21,900;21,900;36,400;36,400;37,350;33,000;41,650;17,550;15,150;20,250;17,150;14,750;14,850;14,650
 10/ 2023;13,800;11,350;11,000;15,150;14,150;16,000;15,150;30,100;30,100;136,900;136,900;21,500;21,500;34,150;34,150;62,100;51,750;72,400;17,600;15,150;20,250;17,400;15,900;15,850;15,950
 11/ 2023;14,100;11,350;11,000;15,500;14,650;16,250;15,750;29,450;29,450;136,900;136,900;30,400;30,400;32,500;32,500;76,150;60,500;91,750;17,550;15,150;20,150;17,400;16,850;16,700;17,000
 12/ 2023;14,150;11,350;11,000;15,500;14,650;16,500;15,750;32,600;32,600;136,900;136,900;38,000;38,000;39,000;39,000;55,250;33,000;77,500;17,550;15,150;20,150;17,400;16,850;16,700;17,000
 01/ 2024;14,150;11,450;11,000;15,500;14,650;16,500;15,900;32,400;32,400;136,900;136,900;30,150;30,150;37,750;37,750;44,100;42,250;45,900;17,750;15,750;20,150;17,400;17,250;17,350;17,150
 02/ 2024;14,800;12,400;11,500;16,000;15,250;17,100;16,500;37,700;37,700;136,900;136,900;34,250;34,250;37,250;37,250;74,200;62,150;86,250;17,750;15,650;20,150;17,400;17,150;17,200;17,100
 03/ 2024;14,750;12,400;11,500;16,000;14,900;17,100;16,500;32,500;32,500;136,900;136,900;35,750;35,750;40,900;40,900;51,000;48,900;53,150;18,100;16,750;20,150;17,400;17,550;17,700;17,350
 04/ 2024;14,700;12,400;11,500;16,000;14,900;17,000;16,400;35,950;35,950;136,900;136,900;48,400;48,400;40,900;40,900;49,350;50,500;48,150;18,500;17,350;20,150;18,000;18,300;18,200;18,400
 05/ 2024;14,650;12,400;11,500;15,900;14,900;16,750;16,400;36,100;36,100;136,900;136,900;48,250;48,250;41,500;41,500;39,700;39,000;40,400;18,400;17,150;20,000;18,000;18,650;18,800;18,500
 06/ 2024;14,550;12,400;11,500;15,350;14,900;16,850;16,400;33,150;33,150;136,900;136,900;36,500;36,500;40,000;40,000;50,650;53,400;47,900;18,350;17,150;19,900;18,000;18,450;18,450;18,400
 07/ 2024;14,700;12,750;12,000;15,350;14,750;16,850;16,400;27,450;27,450;136,900;136,900;21,900;21,900;40,150;40,150;59,650;53,000;66,250;18,400;17,100;19,750;18,250;18,400;18,600;18,150
 08/ 2024;14,750;13,100;12,000;15,300;14,900;16,950;16,400;30,400;30,400;136,900;136,900;21,650;21,650;40,150;40,150;43,100;38,750;47,400;18,500;17,000;20,000;18,400;18,150;18,350;17,900
 09/ 2024;15,050;13,100;12,000;15,650;15,100;17,450;17,000;31,900;31,900;136,900;136,900;26,500;26,500;40,150;40,150;42,900;38,650;47,150;18,700;17,650;20,000;18,400;18,050;18,300;17,750
 10/ 2024;15,050;13,100;12,000;15,650;15,100;17,450;17,000;37,100;37,100;136,900;136,900;27,000;27,000;40,250;40,250;37,200;26,750;47,650;18,800;17,750;20,250;18,400;18,050;18,300;17,750
 11/ 2024;15,050;13,100;12,000;15,650;15,100;17,450;17,000;35,600;35,600;136,900;136,900;33,650;33,650;41,400;41,400;33,200;31,250;35,150;20,050;19,650;21,000;19,500;18,150;18,550;17,750
 12/ 2024;15,050;13,100;12,000;15,650;15,100;17,450;17,000;38,450;38,450;136,900;136,900;39,150;39,150;41,500;41,500;61,550;52,650;70,400;20,050;19,650;21,000;19,500;18,150;18,550;17,750
